"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20181002_20181008.csv"
"C","Report for: 10/02/2018 - 10/08/2018"
"C","Report generated: 03/13/2019 21:40:57 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","10/02/2018","07",12297.25
"D","10/02/2018","08",13305.61
"D","10/02/2018","09",13712.56
"D","10/02/2018","10",13950.23
"D","10/02/2018","11",14111.76
"D","10/02/2018","12",14233.43
"D","10/02/2018","13",14205.47
"D","10/02/2018","14",14236.75
"D","10/02/2018","15",14216.12
"D","10/02/2018","16",14258.96
"D","10/02/2018","17",14583.04
"D","10/02/2018","18",15062.74
"D","10/02/2018","19",15367.56
"D","10/02/2018","20",15115.7
"D","10/02/2018","21",14352.4
"D","10/02/2018","22",13345.9
"D","10/02/2018","23",12119.98
"D","10/02/2018","24",11041.04
"D","10/03/2018","01",10842.66
"D","10/03/2018","02",10643.69
"D","10/03/2018","03",10440.08
"D","10/03/2018","04",10359.67
"D","10/03/2018","05",10393.78
"D","10/03/2018","06",11174.05
"D","10/03/2018","07",12343.8
"D","10/03/2018","08",13351.75
"D","10/03/2018","09",13591.92
"D","10/03/2018","10",13712.99
"D","10/03/2018","11",13859.27
"D","10/03/2018","12",13928.61
"D","10/03/2018","13",13785.59
"D","10/03/2018","14",13712.57
"D","10/03/2018","15",13708.16
"D","10/03/2018","16",13898.27
"D","10/03/2018","17",14158.71
"D","10/03/2018","18",14497.38
"D","10/03/2018","19",14969.41
"D","10/03/2018","20",14979.9
"D","10/03/2018","21",14326.5
"D","10/03/2018","22",13328.14
"D","10/03/2018","23",12062.6
"D","10/03/2018","24",10976.52
"D","10/04/2018","01",10349.21
"D","10/04/2018","02",10139.79
"D","10/04/2018","03",10002.25
"D","10/04/2018","04",10013.66
"D","10/04/2018","05",10353.82
"D","10/04/2018","06",10819.26
"D","10/04/2018","07",12236.14
"D","10/04/2018","08",13244.68
"D","10/04/2018","09",13481.95
"D","10/04/2018","10",13580.38
"D","10/04/2018","11",13692.94
"D","10/04/2018","12",13827.64
"D","10/04/2018","13",13901.46
"D","10/04/2018","14",14088.7
"D","10/04/2018","15",14364.82
"D","10/04/2018","16",14550.63
"D","10/04/2018","17",14655.56
"D","10/04/2018","18",14898.39
"D","10/04/2018","19",15393.46
"D","10/04/2018","20",15501.58
"D","10/04/2018","21",14905.76
"D","10/04/2018","22",13930.03
"D","10/04/2018","23",12741.52
"D","10/04/2018","24",11666.69
"D","10/05/2018","01",11102.46
"D","10/05/2018","02",10735.72
"D","10/05/2018","03",10352.4
"D","10/05/2018","04",10187.77
"D","10/05/2018","05",10325.08
"D","10/05/2018","06",10811.96
"D","10/05/2018","07",11977.5
"D","10/05/2018","08",12831.45
"D","10/05/2018","09",12826.16
"D","10/05/2018","10",12481.49
"D","10/05/2018","11",12219.41
"D","10/05/2018","12",12040.59
"D","10/05/2018","13",11955.35
"D","10/05/2018","14",11998.26
"D","10/05/2018","15",12059.99
"D","10/05/2018","16",12325.36
"D","10/05/2018","17",12875.86
"D","10/05/2018","18",13433.04
"D","10/05/2018","19",13879.32
"D","10/05/2018","20",13894.36
"D","10/05/2018","21",13343.84
"D","10/05/2018","22",12620.34
"D","10/05/2018","23",11691.74
"D","10/05/2018","24",10701.05
"D","10/06/2018","01",9932.28
"D","10/06/2018","02",9762.59
"D","10/06/2018","03",10006.92
"D","10/06/2018","04",9927.75
"D","10/06/2018","05",9929.52
"D","10/06/2018","06",10059.33
"D","10/06/2018","07",10390.11
"D","10/06/2018","08",10832.43
"D","10/06/2018","09",11495.72
"D","10/06/2018","10",11850.69
"D","10/06/2018","11",11771.27
"D","10/06/2018","12",11595.61
"D","10/06/2018","13",11388.34
"D","10/06/2018","14",11461.04
"D","10/06/2018","15",11812.84
"D","10/06/2018","16",11970.88
"D","10/06/2018","17",12286.64
"D","10/06/2018","18",12646.89
"D","10/06/2018","19",13157.64
"D","10/06/2018","20",13109.65
"D","10/06/2018","21",12656.84
"D","10/06/2018","22",12060.73
"D","10/06/2018","23",11516.92
"D","10/06/2018","24",10783.15
"D","10/07/2018","01",10537.75
"D","10/07/2018","02",10415.82
"D","10/07/2018","03",10252.57
"D","10/07/2018","04",10127.86
"D","10/07/2018","05",10137.15
"D","10/07/2018","06",10364.51
"D","10/07/2018","07",10843.47
"D","10/07/2018","08",11445.0
"D","10/07/2018","09",11935.47
"D","10/07/2018","10",12294.02
"D","10/07/2018","11",12199.51
"D","10/07/2018","12",12362.35
"D","10/07/2018","13",12575.51
"D","10/07/2018","14",12785.7
"D","10/07/2018","15",12892.57
"D","10/07/2018","16",13176.03
"D","10/07/2018","17",13566.8
"D","10/07/2018","18",14014.01
"D","10/07/2018","19",14340.16
"D","10/07/2018","20",14183.74
"D","10/07/2018","21",13542.69
"D","10/07/2018","22",12710.5
"D","10/07/2018","23",11718.88
"D","10/07/2018","24",10772.42
"D","10/08/2018","01",10499.51
"D","10/08/2018","02",10417.39
"D","10/08/2018","03",10163.77
"D","10/08/2018","04",10081.67
"D","10/08/2018","05",10274.66
"D","10/08/2018","06",10902.57
"D","10/08/2018","07",11556.52
"D","10/08/2018","08",12157.68
"D","10/08/2018","09",12907.86
"D","10/08/2018","10",13385.17
"D","10/08/2018","11",13649.82
"D","10/08/2018","12",13792.16
"D","10/08/2018","13",13812.19
"D","10/08/2018","14",13799.91
"D","10/08/2018","15",13741.08
"D","10/08/2018","16",13742.87
"D","10/08/2018","17",13979.17
"D","10/08/2018","18",14438.0
"D","10/08/2018","19",14807.08
"D","10/08/2018","20",14541.49
"D","10/08/2018","21",13843.89
"D","10/08/2018","22",12901.63
"D","10/08/2018","23",11726.91
"D","10/08/2018","24",10920.15
"D","10/09/2018","01",10230.72
"D","10/09/2018","02",10225.4
"D","10/09/2018","03",10168.82
"D","10/09/2018","04",10151.48
"D","10/09/2018","05",10443.85
"D","10/09/2018","06",11055.4
"T","168 lines"
